pikachu,ENG3U,MCR3U,SPH3U,ICS3U,SCH3U,ADA3M,CGG3O,PPZ3C
charizard,ENG3U,MCR3U,SPH3U,ICS3U,SCH3U,ADA3M,CGG3O,PPZ3C
bulbasaur,MHF4U,MCV4U,ENG4U,SPH4U,ICS4U,HZT4U,AVI4M,SCH4U
gengar,ENG3U,MCR3U,SPH3U,ICS3U,SCH3U,ADA3M,HSP3C,AWQ3M
eevee,ENG3C,MAP4C,AVI3M,ASM3M,BDI3C,IDC4U,CLU3M,CGG3O
lucario,ICS4U,SPH4U,ENG4U,MCV4U,MHF4U,HZT4U,AVI4M,SCH4U
mimikyu,ADA3M,HZT4U,AVI4M,MHF4U,MCV4U,ENG4U,SPH4U,ICS4U
garchomp,ENG3U,MCR3U,SPH3U,ICS3U,SCH3U,ADA3M,CGG3O,PPZ3C
snorlax,SNC2D,CHC2D,ENG2D,MPM2D,AVI2O,BTT2O,ASM2O,PPL2O
greninja,MHF4U,MCV4U,ENG4U,SPH4U,ICS4U,HZT4U,AVI4M,SCH4U
